date,site_id,region,utility_provider,rate_class,total_kwh,peak_kw,demand_charge,energy_charge,total_cost
2024-01-01,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,140709.29,6664.27,111791.76,13928.05,125719.81
2024-01-02,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,136218.16,6356.82,93252.43,11300.99,104553.42
2024-01-03,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,132361.2,6784.49,120601.06,8315.01,128916.06
2024-01-04,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,143599.68,6582.58,111508.0,15740.04,127248.04
2024-01-05,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,139409.3,6397.8,103632.86,8525.31,112158.18
2024-01-06,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,136789.45,6322.71,87646.5,14867.34,102513.85
2024-01-07,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,132806.97,6771.37,134518.98,10508.1,145027.08
2024-01-08,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,138317.56,7330.76,114389.16,13003.98,127393.14
2024-01-09,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,132311.65,7103.15,107139.21,11665.18,118804.39
2024-01-10,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,132636.61,6334.39,110637.07,9556.64,120193.71
2024-01-11,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,141221.26,7453.18,112755.34,9697.41,122452.76
2024-01-12,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,135537.54,7065.3,96537.0,11013.48,107550.48
2024-01-13,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,141235.94,6510.17,101545.82,14422.2,115968.02
2024-01-14,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,139111.89,7450.21,108864.83,13405.32,122270.15
2024-01-15,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,141877.37,7118.5,133516.53,15331.07,148847.6
2024-01-16,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,144674.84,7281.6,143607.94,12924.9,156532.84
2024-01-17,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,142994.72,6882.81,91693.75,10697.96,102391.71
2024-01-18,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,134909.59,6659.36,95547.92,10758.24,106306.17
2024-01-19,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,135168.5,6419.2,117608.76,12917.66,130526.42
2024-01-20,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,143874.82,7704.86,148855.36,13316.17,162171.53
2024-01-21,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,147653.02,7320.45,109561.9,9563.56,119125.46
2024-01-22,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,145364.85,7469.24,106046.54,13019.59,119066.12
2024-01-23,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,144119.08,7065.35,132767.18,15649.26,148416.44
2024-01-24,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,146713.53,7012.89,86423.11,10681.25,97104.35
2024-01-25,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,146848.53,6866.26,93475.56,12036.71,105512.26
2024-01-26,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,149808.24,7459.66,131022.5,13207.66,144230.16
2024-01-27,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,139182.13,7080.21,96464.32,12107.74,108572.06
2024-01-28,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,151079.81,7678.46,146226.65,14313.19,160539.84
2024-01-29,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,146756.89,7087.91,110941.92,9579.51,120521.44
2024-01-30,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,141144.78,6959.04,101565.48,14702.21,116267.69
2024-01-31,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,140012.74,6832.97,96871.4,14749.14,111620.55
2024-02-01,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,147940.9,6781.27,97909.62,11484.42,109394.04
2024-02-02,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,141163.66,7098.28,124500.28,11891.84,136392.12
